longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,bedroom_room_ration
-122.24,37.84,52.0,3529.0,574.0,1177,555.0,5.1773,389500.0,NEAR BAY,0.16265230943610087
-122.24,37.85,52.0,2612.0,365.0,901,367.0,7.2354,391100.0,NEAR BAY,0.139739663093415
-122.22,37.85,28.0,5287.0,1048.0,2031,956.0,5.457000000000001,337300.0,NEAR BAY,0.1982220540949499
-122.22,37.84,50.0,2935.0,473.0,1031,479.0,7.5,295200.0,NEAR BAY,0.16115843270868824
-122.21,37.84,44.0,3424.0,597.0,1358,597.0,6.0194,292300.0,NEAR BAY,0.174357476635514
-122.21,37.83,40.0,4991.0,674.0,1616,654.0,7.5544,411500.0,NEAR BAY,0.13504307753957123
-122.2,37.84,30.0,2211.0,346.0,844,343.0,6.0666,311500.0,NEAR BAY,0.15649027589326098
-122.21,37.84,34.0,3038.0,490.0,1140,496.0,7.0548,325900.0,NEAR BAY,0.16129032258064516
-122.19,37.84,18.0,1617.0,210.0,533,194.0,11.6017,392600.0,NEAR BAY,0.12987012987012986
-122.2,37.84,35.0,2865.0,460.0,1072,443.0,7.4882,319300.0,NEAR BAY,0.16055846422338568
-122.21,37.83,34.0,5065.0,788.0,1627,766.0,6.8976,333300.0,NEAR BAY,0.15557749259624876
-122.19,37.83,28.0,1326.0,184.0,463,190.0,8.2049,335200.0,NEAR BAY,0.138763197586727
-122.2,37.83,26.0,1589.0,223.0,542,211.0,8.401,351200.0,NEAR BAY,0.14033983637507866
-122.19,37.83,29.0,1791.0,271.0,661,269.0,6.8538,368900.0,NEAR BAY,0.15131211613623674
-122.19,37.82,32.0,1835.0,264.0,635,263.0,8.317,365900.0,NEAR BAY,0.1438692098092643
-122.2,37.82,37.0,1229.0,181.0,420,176.0,7.0175,366700.0,NEAR BAY,0.14727420667209112
-122.2,37.82,39.0,3770.0,534.0,1265,500.0,6.3302,362800.0,NEAR BAY,0.14164456233421752
-122.18,37.81,30.0,292.0,38.0,126,52.0,6.3624,483300.0,NEAR BAY,0.13013698630136986
-122.21,37.82,52.0,2375.0,333.0,813,350.0,7.0549,331400.0,NEAR BAY,0.14021052631578948
-122.2,37.81,45.0,2964.0,436.0,1067,426.0,6.7851,323500.0,NEAR BAY,0.14709851551956815
-122.21,37.8,50.0,2833.0,605.0,1260,552.0,2.8929,216700.0,NEAR BAY,0.21355453582774445
-122.21,37.8,38.0,2254.0,535.0,951,487.0,3.0812,233100.0,NEAR BAY,0.23735581188997337
-122.21,37.81,52.0,1389.0,212.0,510,224.0,5.2402,296400.0,NEAR BAY,0.15262778977681785
-122.22,37.81,52.0,1971.0,335.0,765,308.0,6.5217,273700.0,NEAR BAY,0.16996448503297817
-122.22,37.8,52.0,2183.0,465.0,1129,460.0,3.2632,227700.0,NEAR BAY,0.21300961978928082
-122.22,37.8,52.0,2286.0,464.0,1073,441.0,3.0298,199600.0,NEAR BAY,0.20297462817147857
-122.22,37.8,52.0,2721.0,541.0,1185,515.0,4.5428,239800.0,NEAR BAY,0.1988239617787578
-122.22,37.81,52.0,2024.0,339.0,756,340.0,4.072,270100.0,NEAR BAY,0.1674901185770751
-122.22,37.81,52.0,2944.0,536.0,1034,521.0,5.3509,302100.0,NEAR BAY,0.18206521739130435
-122.23,37.8,52.0,2033.0,486.0,787,459.0,3.1603,269500.0,NEAR BAY,0.23905558288243975
-122.23,37.81,52.0,1433.0,229.0,612,213.0,4.7708,314700.0,NEAR BAY,0.159804605722261
-122.22,37.81,52.0,2927.0,402.0,1021,380.0,8.1564,390100.0,NEAR BAY,0.13734198838401093
-122.23,37.81,52.0,2315.0,292.0,861,258.0,8.8793,410300.0,NEAR BAY,0.126133909287257
-122.24,37.81,52.0,2485.0,313.0,953,327.0,6.8591,352400.0,NEAR BAY,0.12595573440643862
-122.24,37.81,52.0,1490.0,238.0,634,256.0,6.0302,287300.0,NEAR BAY,0.1597315436241611
-122.23,37.81,52.0,2814.0,365.0,878,352.0,7.507999999999999,348700.0,NEAR BAY,0.1297085998578536
-122.24,37.81,52.0,2093.0,550.0,918,483.0,2.7477,243800.0,NEAR BAY,0.26278069756330624
-122.24,37.8,52.0,888.0,168.0,360,175.0,2.1944,211500.0,NEAR BAY,0.1891891891891892
-122.25,37.8,52.0,2087.0,510.0,1197,488.0,3.0149,218400.0,NEAR BAY,0.24436990896023
-122.24,37.81,52.0,2513.0,502.0,1048,518.0,3.675,269900.0,NEAR BAY,0.19976124154397135
-122.25,37.81,46.0,3232.0,835.0,1373,747.0,3.225,218800.0,NEAR BAY,0.2583539603960396
-122.25,37.8,42.0,4120.0,1065.0,1715,1015.0,2.9345,225000.0,NEAR BAY,0.25849514563106796
-122.25,37.8,43.0,2364.0,792.0,1359,722.0,2.1429,250000.0,NEAR BAY,0.3350253807106599
-122.25,37.8,41.0,1471.0,469.0,1062,413.0,1.6121,171400.0,NEAR BAY,0.318830727396329
-122.25,37.8,29.0,2468.0,864.0,1335,773.0,1.3929,193800.0,NEAR BAY,0.3500810372771475
-122.24,37.79,27.0,1632.0,492.0,1171,429.0,2.3173,125000.0,NEAR BAY,0.3014705882352941
-122.25,37.79,45.0,1786.0,526.0,1475,460.0,1.7772,97500.0,NEAR BAY,0.2945128779395297
-122.25,37.79,50.0,629.0,188.0,742,196.0,2.6458,125000.0,NEAR BAY,0.2988871224165342
-122.25,37.79,52.0,1339.0,391.0,1086,363.0,2.181,138800.0,NEAR BAY,0.29200896191187453
-122.25,37.8,36.0,1678.0,606.0,1645,543.0,2.2303,116700.0,NEAR BAY,0.36114421930870083
-122.25,37.8,43.0,2344.0,647.0,1710,644.0,1.6504,151800.0,NEAR BAY,0.27602389078498296
-122.24,37.8,52.0,996.0,228.0,731,228.0,2.2697,127000.0,NEAR BAY,0.2289156626506024
-122.24,37.8,52.0,1591.0,373.0,1118,347.0,2.1563,128600.0,NEAR BAY,0.23444374607165305
-122.24,37.8,52.0,1586.0,398.0,1006,335.0,2.1348,140600.0,NEAR BAY,0.2509457755359395
-122.24,37.8,47.0,2046.0,588.0,1213,554.0,2.6292,182700.0,NEAR BAY,0.2873900293255132
-122.23,37.8,52.0,1192.0,289.0,772,257.0,2.3833,146900.0,NEAR BAY,0.2424496644295302
-122.24,37.8,52.0,1803.0,420.0,1321,401.0,2.957,122800.0,NEAR BAY,0.23294509151414308
-122.24,37.8,49.0,2838.0,749.0,1487,677.0,2.5238,169300.0,NEAR BAY,0.2639182522903453
-122.23,37.8,52.0,783.0,184.0,488,186.0,1.9375,126600.0,NEAR BAY,0.23499361430395913
-122.23,37.8,51.0,1590.0,414.0,949,392.0,1.9028,127900.0,NEAR BAY,0.26037735849056604
-122.23,37.8,50.0,1746.0,480.0,1149,415.0,2.25,123500.0,NEAR BAY,0.27491408934707906
-122.23,37.8,52.0,1252.0,299.0,844,280.0,2.3929,111900.0,NEAR BAY,0.2388178913738019
-122.23,37.79,43.0,5963.0,1344.0,4367,1231.0,2.1917,112800.0,NEAR BAY,0.2253899044105316
-122.23,37.79,52.0,1783.0,395.0,1659,412.0,2.9357,107900.0,NEAR BAY,0.22153673583847447
-122.23,37.79,30.0,999.0,264.0,1011,263.0,1.8854,137500.0,NEAR BAY,0.26426426426426425
-122.24,37.79,39.0,1469.0,431.0,1464,389.0,2.1638,105500.0,NEAR BAY,0.29339686861810754
-122.24,37.79,47.0,1372.0,395.0,1237,303.0,2.125,95500.0,NEAR BAY,0.2879008746355685
-122.24,37.79,52.0,674.0,180.0,647,168.0,3.375,116100.0,NEAR BAY,0.26706231454005935
-122.24,37.79,43.0,1626.0,376.0,1284,357.0,2.2542,112200.0,NEAR BAY,0.23124231242312424
-122.25,37.79,51.0,175.0,43.0,228,55.0,2.1,75000.0,NEAR BAY,0.24571428571428572
-122.25,37.79,39.0,461.0,129.0,381,123.0,1.6,112500.0,NEAR BAY,0.279826464208243
-122.25,37.79,52.0,902.0,237.0,846,227.0,3.625,125000.0,NEAR BAY,0.26274944567627495
-122.26,37.8,20.0,2373.0,779.0,1659,676.0,1.6929,115000.0,NEAR BAY,0.3282764433206911
-122.22,37.77,52.0,391.0,128.0,520,138.0,1.6471,95000.0,NEAR BAY,0.3273657289002558
-122.22,37.77,52.0,1137.0,301.0,866,259.0,2.59,96400.0,NEAR BAY,0.2647317502198769
-122.23,37.77,52.0,769.0,206.0,612,183.0,2.57,72000.0,NEAR BAY,0.26788036410923277
-122.23,37.78,52.0,472.0,146.0,415,126.0,2.6429,71300.0,NEAR BAY,0.3093220338983051
-122.23,37.78,52.0,862.0,215.0,994,213.0,3.0257,80800.0,NEAR BAY,0.2494199535962877
-122.22,37.78,50.0,1920.0,530.0,1525,477.0,1.4886,128800.0,NEAR BAY,0.2760416666666667
-122.23,37.78,43.0,1420.0,472.0,1506,438.0,1.9338,112500.0,NEAR BAY,0.3323943661971831
-122.23,37.78,52.0,986.0,258.0,1008,255.0,1.4844,119400.0,NEAR BAY,0.2616632860040568
-122.23,37.78,44.0,2340.0,825.0,2813,751.0,1.6009,118100.0,NEAR BAY,0.3525641025641026
-122.23,37.79,48.0,1696.0,396.0,1481,343.0,2.0375,122500.0,NEAR BAY,0.23349056603773585
-122.23,37.79,49.0,1175.0,217.0,859,219.0,2.293,106300.0,NEAR BAY,0.18468085106382978
-122.22,37.79,37.0,2343.0,574.0,1608,523.0,2.1494,132500.0,NEAR BAY,0.24498506188647035
-122.23,37.79,30.0,610.0,145.0,425,140.0,1.6198,122700.0,NEAR BAY,0.23770491803278687
-122.23,37.79,40.0,930.0,199.0,564,184.0,1.3281,113300.0,NEAR BAY,0.21397849462365592
-122.22,37.79,44.0,1487.0,314.0,961,272.0,3.5156,109500.0,NEAR BAY,0.21116341627437793
-122.22,37.79,52.0,3424.0,690.0,2273,685.0,3.9048,164700.0,NEAR BAY,0.20151869158878505
-122.21,37.79,52.0,762.0,190.0,600,195.0,3.0893,125000.0,NEAR BAY,0.24934383202099739
-122.22,37.79,46.0,2366.0,575.0,1647,527.0,2.6042,124700.0,NEAR BAY,0.24302620456466612
-122.22,37.79,49.0,1826.0,450.0,1201,424.0,2.5,136700.0,NEAR BAY,0.24644030668127054
-122.22,37.79,38.0,3049.0,711.0,2167,659.0,2.7969,141700.0,NEAR BAY,0.23319121023286324
-122.2,37.79,29.0,1640.0,376.0,939,340.0,2.8321,150000.0,NEAR BAY,0.22926829268292684
-122.21,37.79,47.0,1543.0,307.0,859,292.0,2.9583,138800.0,NEAR BAY,0.19896305897602073
-122.21,37.79,34.0,2364.0,557.0,1517,516.0,2.8365,139200.0,NEAR BAY,0.2356175972927242
-122.21,37.79,35.0,1745.0,409.0,1143,386.0,2.875,143800.0,NEAR BAY,0.2343839541547278
-122.21,37.8,39.0,2003.0,500.0,1109,464.0,3.0682,156500.0,NEAR BAY,0.24962556165751373
-122.21,37.8,39.0,2018.0,447.0,1221,446.0,3.0757,151000.0,NEAR BAY,0.22150644202180378
-122.2,37.8,43.0,3045.0,499.0,1115,455.0,4.9559,273000.0,NEAR BAY,0.1638752052545156
-122.2,37.8,52.0,1547.0,293.0,706,268.0,4.7721,217100.0,NEAR BAY,0.18939883645765998
-122.21,37.8,52.0,3519.0,711.0,1883,706.0,3.4861,187100.0,NEAR BAY,0.2020460358056266
-122.2,37.8,41.0,2070.0,354.0,804,340.0,5.1184,239600.0,NEAR BAY,0.17101449275362318
-122.21,37.8,48.0,1321.0,263.0,506,252.0,4.0977,229700.0,NEAR BAY,0.19909159727479184
-122.19,37.8,48.0,1694.0,259.0,610,238.0,4.744,257300.0,NEAR BAY,0.15289256198347106
-122.19,37.8,46.0,1938.0,341.0,768,332.0,4.2727,246900.0,NEAR BAY,0.17595459236326108
-122.19,37.79,50.0,968.0,195.0,462,184.0,2.9844,179900.0,NEAR BAY,0.20144628099173553
-122.2,37.79,40.0,1060.0,256.0,667,235.0,4.1739,169600.0,NEAR BAY,0.24150943396226415
-122.2,37.8,46.0,2041.0,405.0,1059,399.0,3.8487,203300.0,NEAR BAY,0.19843214110730034
-122.19,37.8,52.0,1813.0,271.0,637,277.0,4.0114,263400.0,NEAR BAY,0.14947600661886376
-122.19,37.79,45.0,2718.0,451.0,1106,454.0,4.6563,231800.0,NEAR BAY,0.1659308314937454
-122.19,37.79,28.0,3144.0,761.0,1737,669.0,2.9297,140500.0,NEAR BAY,0.24204834605597964
-122.2,37.79,35.0,1802.0,459.0,1009,390.0,2.3036,126000.0,NEAR BAY,0.25471698113207547
-122.2,37.79,49.0,882.0,195.0,737,210.0,2.6667,122000.0,NEAR BAY,0.22108843537414966
-122.2,37.79,44.0,1621.0,452.0,1354,491.0,2.6189999999999998,134700.0,NEAR BAY,0.27884022208513265
-122.21,37.79,45.0,2115.0,533.0,1530,474.0,2.4167,139400.0,NEAR BAY,0.2520094562647754
-122.2,37.79,45.0,2021.0,528.0,1410,480.0,2.7788,115400.0,NEAR BAY,0.2612568035625928
-122.21,37.78,46.0,2239.0,508.0,1390,569.0,2.7352,137300.0,NEAR BAY,0.2268870031263957
-122.21,37.78,52.0,1477.0,300.0,1065,269.0,1.8472,137000.0,NEAR BAY,0.2031144211238998
-122.21,37.78,52.0,1056.0,224.0,792,245.0,2.6583,142600.0,NEAR BAY,0.21212121212121213
-122.21,37.78,49.0,898.0,244.0,779,245.0,3.0536,137500.0,NEAR BAY,0.2717149220489978
-122.22,37.78,44.0,2968.0,710.0,2269,610.0,2.3906,111700.0,NEAR BAY,0.23921832884097036
-122.21,37.78,43.0,1702.0,460.0,1227,407.0,1.7188,126800.0,NEAR BAY,0.2702702702702703
-122.21,37.78,47.0,881.0,248.0,753,241.0,2.625,111300.0,NEAR BAY,0.2814982973893303
-122.22,37.77,40.0,494.0,114.0,547,135.0,2.8015,114800.0,NEAR BAY,0.23076923076923078
-122.22,37.78,50.0,1776.0,473.0,1807,440.0,1.7276,102300.0,NEAR BAY,0.26632882882882886
-122.22,37.78,44.0,1678.0,514.0,1700,495.0,2.0801,131900.0,NEAR BAY,0.3063170441001192
-122.22,37.78,51.0,1637.0,463.0,1543,393.0,2.489,119100.0,NEAR BAY,0.28283445326817347
